Peildatum;Netbeheerder;Provincie;Gemeente;CBS Buurt ;CBS Buurtcode;Aantal aansluitingen in CBS-buurt ;Aantal aansluitingen met opwekinstallatie;Opgesteld vermogen
202001;Enexis;Noord-Brabant;Veldhoven;;;385;191;689
202001;Enexis;Noord-Brabant;Vught;;;345;45;240
202001;Enexis;Noord-Brabant;Waalre;;;175;72;307
202001;Enexis;Noord-Brabant;Waalwijk;;;564;126;950
202001;Enexis;Noord-Brabant;Woensdrecht;;;392;23;223
202001;Enexis;Noord-Brabant;Zundert;;;184;123;264
202001;Enexis;Overijssel;Almelo;;;248;16;147
202001;Enexis;Overijssel;Borne;;;227;107;397
202001;Enexis;Overijssel;Dalfsen;;;261;221;809
202001;Enexis;Overijssel;Deventer;;;1.232;449;1.515
202001;Enexis;Overijssel;Dinkelland;;;526;60;362
202001;Enexis;Overijssel;Enschede;;;727;246;934
202001;Enexis;Overijssel;Haaksbergen;;;139;34;300
202001;Enexis;Overijssel;Hardenberg;;;570;159;818
202001;Enexis;Overijssel;Hellendoorn;;;236;31;92
202001;Enexis;Overijssel;Hengelo (O);Binnenstad-Oost;;653;34;128
202001;Enexis;Overijssel;Hengelo (O);Binnenstad-West;;531;20;75
202001;Enexis;Overijssel;Hengelo (O);Noord;;2.018;111;433
202001;Enexis;Overijssel;Hengelo (O);;;1.621;193;1.210
202001;Enexis;Overijssel;Hof van Twente;;;331;29;145
202001;Enexis;Overijssel;Kampen;;;584;314;938
202001;Enexis;Overijssel;Losser;;;214;28;147
202001;Enexis;Overijssel;Oldenzaal;De Graven Es;;848;169;754
202001;Enexis;Overijssel;Oldenzaal;;;367;140;613
202001;Enexis;Overijssel;Olst-Wijhe;;;113;38;203
202001;Enexis;Overijssel;Ommen;;;705;163;1.018
202001;Enexis;Overijssel;Raalte;;;282;154;509
202001;Enexis;Overijssel;Rijssen-Holten;;;410;130;578
202001;Enexis;Overijssel;Staphorst;;;539;49;791
202001;Enexis;Overijssel;Steenwijkerland;;;958;100;833
202001;Enexis;Overijssel;Twenterand;;;332;25;265
202001;Enexis;Overijssel;Wierden;;;129;72;275
202001;Enexis;Overijssel;Zwartewaterland;;;494;100;558
202001;Enexis;Overijssel;Zwolle;;;3.201;435;1.622
202001;Enexis;;;;;352;43;444
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
